Labour/sq.yard,Pressure ,cost,Load bearing capacity,Quantity,Efficiency
13,103,109,21,32,30.665000000000003
10,84,386,28,46,58.744
8,129,282,89,24,58.592000000000006
13,102,89,125,12,39.669
14,120,291,36,18,51.393
5,64,492,75,27,70.529
5,87,536,66,13,74.80499999999999
12,52,596,53,24,77.054
4,59,412,118,43,69.27300000000001
8,94,248,50,32,46.980000000000004
9,118,122,17,13,30.577
13,59,134,92,39,38.149
3,118,349,48,46,60.92100000000001
4,35,519,59,13,66.056
6,71,264,71,19,46.931000000000004
5,120,445,122,20,77.55499999999999
11,39,186,65,21,35.249
11,72,120,99,39,38.973000000000006
9,127,167,76,47,47.882000000000005
8,102,353,14,43,55.142
14,40,186,104,19,40.467000000000006
7,55,141,52,21,30.51
15,63,493,102,16,73.61500000000001
3,104,247,32,20,43.821000000000005
13,24,450,88,24,63.70000000000001
10,55,353,69,11,53.212
9,32,420,50,39,58.083
3,64,136,128,27,41.283
12,118,509,20,39,73.418
10,76,341,84,33,59.004000000000005
14,38,530,120,31,78.487
6,114,207,45,45,45.876
11,123,361,64,19,62.30000000000001
8,89,425,73,40,68.21900000000001
4,120,99,28,41,32.798
13,112,255,36,33,48.524
8,84,374,54,14,56.924
4,67,491,47,34,67.87899999999999
4,64,109,111,21,35.722
7,31,272,39,25,39.743
12,110,219,12,45,42.874
3,106,219,103,39,52.716
6,18,316,12,11,37.413
3,124,330,16,30,53.63400000000001
10,120,516,112,12,82.924
13,12,428,16,40,52.629999999999995
10,66,278,78,42,51.772
12,125,468,67,25,74.53299999999999
3,79,201,57,41,42.023999999999994
3,29,579,21,15,66.628
15,50,307,85,42,54.205000000000005
4,51,138,18,44,27.790000000000003
11,71,311,116,20,58.097
7,33,333,117,18,55.443000000000005
13,72,196,126,20,48.07800000000001
8,32,284,123,38,53.628
6,75,184,42,24,36.14
14,100,323,73,17,56.99600000000001
8,112,121,99,32,42.611
14,116,466,38,41,71.60100000000001
11,95,496,103,19,77.757
3,125,242,93,49,57.13300000000001
6,72,297,98,19,53.89000000000001
5,101,177,16,26,35.217000000000006
6,90,204,20,13,35.731
3,64,184,87,49,43.419
14,99,55,48,18,26.681
8,24,556,99,17,74.553
5,107,419,60,31,66.67000000000002
14,33,107,88,22,29.953
9,116,143,93,25,43.77400000000001
11,57,591,11,50,74.67300000000002
5,125,365,73,11,62.614
11,47,509,119,37,77.72400000000002
8,125,401,76,25,68.576
8,74,599,117,11,86.322
4,41,318,58,35,48.939
3,32,122,77,16,28.218
15,88,503,72,31,75.41
3,48,531,49,12,67.267
13,11,291,92,35,47.962
4,109,545,90,44,84.98500000000001
7,92,526,43,26,73.11200000000001
13,74,434,76,14,65.134
13,99,213,23,19,39.418000000000006
14,76,355,58,39,58.112
9,45,471,121,36,73.61500000000001
6,83,589,125,44,91.14300000000001
13,91,313,22,33,50.126000000000005
3,65,530,104,19,77.121
11,87,135,68,27,36.77
8,89,181,68,15,39.95
12,97,502,39,41,72.98300000000002
4,48,465,121,48,74.33500000000001
3,126,450,26,38,68.23800000000001
3,111,244,88,27,52.443000000000005
8,11,466,90,39,65.403
5,75,387,99,47,66.7
10,13,244,37,11,33.171
5,122,471,95,24,77.37899999999999
13,84,392,12,12,53.49400000000001
6,21,88,23,17,16.877000000000002
11,104,486,46,25,71.095
12,107,143,85,25,41.96
13,17,518,128,27,75.313
9,109,487,47,34,72.797
6,83,585,104,28,86.10499999999999
6,118,518,124,12,84.09400000000001
8,97,416,57,25,64.373
10,116,398,76,25,67.40899999999999
14,66,211,36,15,36.69199999999999
11,103,142,95,35,43.795
11,105,346,41,28,56.778000000000006
4,15,174,75,50,35.374
4,52,234,23,32,36.824
4,62,579,109,31,83.89000000000001
9,101,354,128,34,68.96600000000001
5,51,272,73,32,47.136
11,32,108,31,17,21.663
14,59,542,87,39,78.79700000000001
9,11,198,14,22,26.522
6,22,109,26,28,20.813000000000002
5,126,514,52,42,78.73800000000001
9,76,419,10,31,56.934000000000005
13,103,480,97,43,79.32500000000002
3,45,518,38,18,64.89
14,29,171,42,12,28.783000000000005
5,110,343,124,13,65.52
5,96,155,94,44,44.696999999999996
11,62,218,107,32,47.918
4,27,387,116,23,60.396
7,79,141,101,45,42.52
11,23,174,32,30,28.962000000000003
11,113,264,42,19,48.483000000000004
10,77,420,100,44,70.48800000000001
6,108,146,71,21,39.543
9,12,181,92,39,37.084
13,10,476,15,30,55.926
8,114,597,15,47,81.784
4,25,235,26,19,32.636
6,13,83,74,27,23.264000000000003
13,30,57,39,19,17.738
15,123,542,18,16,74.604
8,37,139,41,23,27.118000000000002
6,53,384,118,20,63.192000000000014
14,48,60,38,25,20.803000000000004
14,55,316,81,36,54.37
6,91,96,115,42,40.74
14,117,310,11,12,49.0
10,19,179,121,14,38.57899999999999
13,38,574,89,40,79.88200000000002
4,66,525,42,11,67.81
13,97,406,28,20,59.448
10,67,341,94,18,57.475
3,121,145,39,20,36.401
11,33,553,59,14,70.00699999999999
9,114,127,27,16,32.275000000000006
14,118,531,23,43,76.686
5,15,247,113,46,47.301
15,27,435,57,20,58.207
9,32,143,105,27,35.828
7,90,109,105,12,37.157
3,41,328,110,31,56.142999999999994
3,57,285,50,37,46.57
3,50,187,99,22,40.445
13,123,380,54,29,64.289
11,88,523,91,14,77.517
12,20,263,50,47,42.056
7,114,327,52,28,56.973
13,130,104,15,43,33.821
8,29,459,50,20,59.32300000000001
5,12,408,50,12,50.978
14,99,455,60,50,72.44900000000001
12,52,520,47,42,70.74000000000001
15,105,539,33,19,74.52
8,31,108,129,50,37.944
3,54,501,12,43,63.812000000000005
4,126,365,100,12,66.269
12,24,104,41,15,21.483
3,70,275,124,37,56.68800000000001
11,62,531,98,31,78.24199999999999
7,37,342,94,29,55.135
5,15,59,50,30,18.219
11,97,417,130,21,73.75800000000001
7,37,327,100,35,55.114
9,30,460,99,46,69.09400000000001
4,19,570,102,47,78.98700000000001
3,50,224,30,23,35.331
7,108,303,109,20,60.31100000000001
11,110,239,81,43,53.536
12,55,86,63,50,30.285999999999998
3,91,139,116,34,43.991
7,80,217,79,50,48.04700000000001
14,100,168,51,14,38.124
7,112,188,125,28,52.192
6,45,387,61,19,55.038000000000004
4,82,250,44,49,46.673
7,51,306,25,16,42.60600000000001
15,68,172,47,23,35.457
7,67,101,54,44,30.859
6,31,587,116,29,81.95400000000001
10,22,183,48,44,33.411
12,115,128,73,12,38.266
8,48,342,78,23,53.707
14,83,249,103,36,53.711
8,79,69,48,18,25.235000000000003
5,126,96,17,33,30.899
10,130,317,94,33,64.144
10,17,418,99,50,63.91000000000001
3,83,149,108,26,42.081
14,48,372,63,50,58.540000000000006
13,101,116,117,18,41.95400000000001
14,17,441,56,34,59.099000000000004
15,15,174,53,36,31.838
9,123,599,54,18,84.73899999999999
15,45,325,109,17,55.58800000000001
5,117,524,126,16,85.23
3,56,378,125,41,66.07300000000001
3,35,304,36,37,44.117
12,31,397,30,46,54.147000000000006
9,78,508,21,21,66.395
14,18,501,71,40,67.93900000000001
14,35,568,103,31,79.767
9,102,256,106,49,58.10900000000001
11,39,437,100,41,67.53
5,97,511,124,24,82.289
10,20,364,91,37,56.217
6,79,452,100,20,70.73599999999999
13,74,462,14,27,61.449000000000005
11,94,388,20,48,59.394000000000005
13,111,344,29,11,53.869
12,83,538,102,50,84.25600000000001
4,113,193,64,21,43.78
11,125,55,126,43,42.541999999999994
11,98,273,124,22,58.669000000000004
14,20,93,30,45,22.228
5,17,103,40,50,23.975
7,50,164,106,43,41.891
7,37,378,70,19,54.461000000000006
5,13,124,18,16,18.726000000000003
4,22,334,75,33,50.323
12,71,72,104,33,34.035
4,54,69,104,40,31.872999999999998
3,15,219,121,39,44.49999999999999
14,99,525,98,50,84.459
5,98,445,122,38,77.14500000000001
6,59,126,102,23,36.107
13,55,132,58,18,30.564
11,23,440,94,20,62.69800000000001
9,78,491,11,11,62.187999999999995
5,70,360,113,44,64.85600000000001
10,28,432,104,43,66.417
5,85,271,49,36,48.335
4,90,500,100,40,79.06
8,103,476,31,31,68.463
12,35,80,25,26,19.564
3,105,101,126,44,44.267
14,119,413,46,24,65.613
13,78,431,94,37,70.37200000000001
5,10,439,49,11,53.628
8,79,423,64,45,66.28200000000001
13,10,489,14,42,58.537
15,119,360,89,14,64.75
11,79,354,104,14,61.093999999999994
15,101,205,100,41,51.65
14,88,537,42,21,73.66399999999999
13,12,198,120,29,41.611000000000004
4,24,419,108,13,61.05
8,37,419,43,26,56.01500000000001
12,53,135,72,22,32.841
6,74,406,117,39,69.98100000000001
13,112,197,30,37,42.362
7,88,431,58,23,64.646
11,29,487,29,37,61.714000000000006
14,29,327,75,45,52.756
7,123,303,105,11,60.46
8,36,205,116,41,45.56
14,40,348,20,17,45.67100000000001
14,73,369,60,20,57.177000000000014
5,40,311,18,33,42.76800000000001
12,111,166,67,37,43.835
4,42,560,79,18,74.204
12,74,146,118,14,41.416
6,39,572,90,37,78.93900000000001
10,68,173,84,12,38.609
4,19,562,104,49,78.677
11,96,324,100,40,62.61000000000001
13,54,170,81,38,39.656
12,93,525,69,19,76.124
10,88,298,45,28,50.388000000000005
5,37,166,76,20,33.76800000000001
10,49,526,64,29,71.481
6,15,333,91,18,49.885000000000005
5,103,381,48,12,58.547000000000004
11,82,518,28,32,70.268
12,85,81,20,33,25.648000000000003
11,32,90,36,26,21.566000000000003
7,40,351,67,13,50.978
8,29,242,54,38,40.068
3,42,384,79,48,59.908
13,120,351,43,27,59.344
12,79,545,112,26,82.943
6,24,597,90,43,80.438
4,16,184,62,24,31.716
4,73,135,33,14,28.419
10,20,55,96,42,26.253
12,100,58,80,23,31.675000000000004
4,91,396,28,40,59.312000000000005
10,120,113,83,12,38.451
13,49,223,46,31,39.046
5,95,143,54,48,38.64500000000001
8,26,214,110,36,43.934000000000005
5,126,203,16,21,40.148
3,39,202,109,33,43.293
15,125,507,74,11,77.986
15,105,301,37,21,51.24000000000001
5,65,515,31,17,66.05799999999999
13,59,408,60,31,60.711000000000006
4,104,317,80,42,59.839
8,55,66,115,33,32.643
4,65,567,63,44,78.593
11,25,69,88,25,25.274
8,107,208,86,47,50.913
11,59,82,123,41,36.985
7,97,79,126,14,37.907
10,59,338,59,47,55.14500000000001
5,41,178,45,42,34.032000000000004
5,38,82,44,39,23.500999999999998
11,122,284,20,49,52.257000000000005
14,90,428,114,34,73.79400000000001
14,128,221,42,45,49.244
12,35,429,123,13,66.006
7,106,141,84,38,42.609
7,32,528,63,50,71.81
4,92,241,27,45,44.238
4,99,417,58,31,65.19
3,89,57,38,40,26.051000000000002
6,100,217,28,48,43.409000000000006
5,107,99,21,23,28.328000000000003
4,73,112,111,26,37.664
11,38,159,25,17,26.73
10,113,591,25,31,80.638
5,28,205,52,25,34.138000000000005
15,129,142,92,11,43.925
15,26,411,76,43,60.874
7,58,350,45,19,50.819
11,61,101,12,36,24.111
3,101,470,22,25,65.291
9,92,310,76,26,55.766000000000005
5,57,443,91,14,65.301
15,52,310,15,48,46.354
11,99,472,118,13,77.033
12,31,332,48,24,47.30400000000001
10,58,540,92,23,76.86500000000001
3,111,239,57,44,49.931000000000004
10,16,422,16,36,51.742
15,31,279,105,20,49.155
8,35,320,52,43,48.977
12,13,139,18,40,23.727000000000004
4,12,491,93,39,68.07400000000001
8,38,530,29,21,64.927
14,130,179,18,44,41.995
7,53,288,16,38,42.467999999999996
14,61,349,11,47,50.608000000000004
3,29,577,11,11,64.65
7,113,287,103,47,61.708
12,41,483,96,49,72.93
5,94,315,19,47,51.232
9,51,289,16,30,41.565000000000005
11,13,352,31,12,43.507999999999996
6,124,435,88,45,75.65400000000001
9,76,458,40,21,63.583000000000006
14,57,234,54,40,43.286
13,72,153,58,35,36.68
15,119,311,120,26,65.259
6,60,173,123,29,44.414
9,42,448,74,38,65.07200000000002
11,16,162,20,47,27.401000000000003
8,24,584,56,12,71.196
9,110,443,91,35,74.308
12,108,304,101,43,62.559
15,13,197,32,24,29.771
4,94,269,39,24,46.359
6,29,81,27,39,20.236
10,34,89,119,47,34.896
12,46,261,76,22,45.275000000000006
13,92,384,20,24,56.08200000000001
4,41,140,124,28,38.708000000000006
10,61,134,129,50,44.230000000000004
7,41,307,86,38,52.095
9,80,376,73,49,63.387
3,34,215,122,41,46.668
5,113,128,120,31,45.775
8,97,151,37,33,35.96
13,39,307,99,40,54.330999999999996
3,77,483,29,32,65.563
12,83,417,108,32,70.673
13,123,219,104,48,56.789
11,126,540,58,12,79.11400000000002
15,11,591,58,39,74.498
4,85,108,46,33,31.035
13,23,546,94,26,74.298
15,59,341,46,39,53.25600000000001
6,95,474,48,48,71.38600000000001
11,12,305,35,29,41.188
12,79,502,125,11,78.505
13,83,189,36,35,38.732
10,115,443,15,23,63.67000000000001
4,25,483,108,41,70.962
12,115,231,75,38,52.023
6,111,544,116,17,85.463
10,95,317,72,24,56.153000000000006
15,52,59,29,30,20.681
8,58,343,80,14,54.157
10,41,509,123,48,78.76700000000001
9,84,304,107,47,60.76100000000001
6,40,62,96,36,28.206
3,25,261,42,14,36.657
11,110,222,13,50,43.812
12,69,270,23,21,41.843
8,61,131,62,49,34.918000000000006
5,39,109,105,25,32.608000000000004
11,92,326,54,29,55.059000000000005
10,34,353,120,37,60.50000000000001
10,29,192,56,31,34.625
7,67,260,111,34,53.138000000000005
15,121,545,55,18,79.723
11,73,441,40,43,64.316
8,13,116,87,33,29.181
3,84,237,23,44,42.177
10,10,225,14,50,32.555
8,11,102,102,49,31.389
7,127,327,18,15,52.513999999999996
12,102,580,76,26,84.466
12,53,260,26,43,41.985
3,94,283,96,16,54.141000000000005
6,101,590,43,29,80.887
14,120,408,94,50,74.558
12,104,490,65,14,72.75
8,27,205,17,16,28.671000000000003
13,114,224,104,32,54.346
10,95,363,67,42,62.291000000000004
11,10,207,114,26,40.971000000000004
12,44,108,72,29,29.903000000000002
8,31,67,90,12,24.211000000000002
9,28,246,62,45,42.318999999999996
12,24,332,110,14,53.361999999999995
11,78,525,22,37,70.32600000000001
11,106,210,66,11,44.385
8,21,600,113,50,84.396
10,120,262,99,49,59.983000000000004
12,53,445,110,16,68.377
11,102,424,50,46,67.62
12,43,299,114,18,53.229000000000006
12,69,427,57,48,65.333
7,81,387,38,23,56.790000000000006
12,22,452,95,46,67.108
14,89,235,34,19,42.00000000000001
3,102,352,116,22,65.35199999999999
14,44,559,62,14,72.54899999999999
3,70,350,16,41,50.699
8,71,571,82,17,79.31
13,44,432,89,20,63.85600000000001
15,29,492,44,17,62.149
9,47,444,128,31,71.435
3,24,131,42,26,24.839000000000006
8,122,175,118,44,53.123
13,125,163,15,39,38.724000000000004
7,33,379,30,29,50.088
11,108,193,62,21,43.57000000000001
15,55,518,75,11,71.107
6,61,228,78,42,45.782000000000004
7,124,528,96,37,85.22500000000001
8,18,213,77,36,38.615
6,71,305,73,18,51.21300000000001
7,13,279,107,29,47.678000000000004
7,96,366,102,35,66.157
14,21,433,111,44,67.095
3,73,549,35,24,71.593
7,48,88,24,42,23.204
12,106,523,120,17,83.822
13,125,387,108,31,72.48600000000002
9,15,545,77,35,71.77000000000001
14,88,366,100,16,63.337999999999994
6,41,428,72,41,62.763
8,36,223,84,20,40.719
12,49,599,55,32,78.221
8,117,148,129,24,48.86600000000001
7,26,316,62,40,48.382
4,44,313,39,27,45.36000000000001
3,93,335,74,23,57.25000000000001
14,104,469,64,30,72.583
14,74,100,57,42,32.352000000000004
12,83,369,93,37,64.47000000000001
6,121,202,65,28,46.760000000000005
13,112,407,67,12,65.407
11,47,338,75,11,51.639
12,13,460,115,33,67.92500000000001
15,95,591,28,23,78.438
4,114,331,42,13,54.022
12,104,481,124,44,83.081
7,126,512,106,13,82.285
8,61,218,65,29,41.715
4,79,63,84,15,28.592000000000002
11,101,276,130,27,60.695
13,54,259,59,33,45.190000000000005
12,91,273,80,42,54.607
3,78,148,22,36,31.409999999999997
13,71,312,112,22,58.096000000000004
9,41,71,80,17,25.16
5,92,433,128,26,74.589
7,48,541,106,13,76.166
4,20,584,112,39,80.86500000000001
9,12,88,34,31,19.198999999999998
15,23,600,121,41,85.227
3,86,306,100,15,55.937
5,125,287,92,25,58.872
12,30,163,80,50,37.373000000000005
9,40,405,17,32,52.373000000000005
7,67,552,124,21,82.773
14,79,224,120,44,53.884
14,101,417,101,30,71.79299999999999
13,85,257,23,32,43.785000000000004
3,80,247,101,30,51.197
11,40,397,24,22,51.465
11,111,380,102,19,67.767
4,27,548,46,20,67.2
10,55,354,93,18,57.26600000000001
10,19,121,86,32,30.313
13,34,572,10,27,67.399
13,115,175,90,18,46.02700000000001
13,49,142,83,38,36.508
4,56,426,54,34,60.94800000000001
12,116,585,70,34,86.767
8,91,514,84,36,78.394
12,118,449,35,25,67.642
14,90,343,17,49,54.384
5,39,384,41,23,51.82500000000001
9,10,514,65,31,66.023
11,22,212,88,34,40.440000000000005
12,94,202,37,23,39.93300000000001
11,86,194,82,47,46.813
8,61,305,29,12,43.79900000000001
5,14,561,33,43,68.142
4,19,271,26,37,37.718
7,25,573,46,47,72.97600000000001
13,97,125,95,22,40.015
15,52,233,75,19,42.926
14,88,346,125,17,64.687
4,40,539,55,19,68.85
5,103,373,68,43,64.028
3,20,175,40,43,30.582
9,26,275,25,29,38.302
10,129,420,33,50,68.524
4,26,547,34,42,68.04100000000001
10,98,85,69,45,35.178
5,82,297,49,30,49.899
14,111,532,24,23,73.72500000000001
15,48,62,60,36,25.264
7,68,412,116,34,69.256
14,33,360,76,25,54.303000000000004
3,27,539,71,47,72.664
13,110,94,45,20,31.654
10,21,398,71,31,56.452999999999996
13,67,243,13,39,39.815999999999995
13,33,318,10,46,43.89
6,35,600,54,24,75.076
4,59,579,75,27,78.646
14,66,423,41,38,61.49100000000001
13,105,91,63,41,35.61
11,93,97,106,15,37.14
6,112,285,49,35,52.852
11,79,112,110,23,38.50300000000001
6,81,280,26,22,44.214000000000006
14,125,179,94,44,51.294999999999995
13,103,337,46,19,55.39600000000001
6,25,268,106,29,47.739000000000004
14,50,532,105,33,78.369
5,71,182,40,32,36.076
6,98,55,84,24,31.239000000000004
6,100,550,38,22,75.24799999999999
7,89,291,110,40,59.404999999999994
13,114,142,61,30,40.236000000000004
4,86,302,127,26,60.442
3,88,578,78,18,81.138
12,55,266,111,39,53.397
7,11,363,91,25,53.374
8,28,371,45,43,52.406000000000006
11,79,79,72,42,32.491
4,121,570,115,12,88.34400000000001
10,94,123,17,21,28.936
12,110,562,103,44,89.22800000000001
13,118,441,82,41,74.938
4,104,463,20,35,65.95200000000001
6,89,322,81,13,55.46300000000001
9,55,182,34,32,33.800000000000004
12,85,292,121,32,59.970000000000006
11,99,72,10,26,24.140000000000004
6,125,340,69,37,62.753
7,119,204,71,47,49.861000000000004
4,128,505,19,23,71.42
12,49,187,56,27,36.144
8,97,233,36,28,43.517
11,41,465,122,39,73.21200000000002
8,97,249,123,36,57.395
11,71,394,42,43,59.597
6,16,153,124,35,38.134
4,115,366,57,33,62.00299999999999
8,100,512,126,37,84.81500000000001
4,56,191,41,31,35.166000000000004
11,100,169,35,37,38.612
12,125,145,92,50,48.135000000000005
3,12,243,93,28,41.627
7,78,484,59,45,71.587
11,50,539,105,47,80.47200000000001
3,82,600,55,30,81.102
14,118,93,105,23,40.728
9,124,562,69,37,85.32900000000001
14,71,175,43,32,36.568999999999996
11,14,199,61,20,33.023
9,52,244,23,45,39.830999999999996
13,10,198,115,29,40.729000000000006
10,71,216,40,29,39.60300000000001
12,116,100,82,28,38.62800000000001
11,123,432,123,13,76.427
9,109,366,84,22,63.958000000000006
12,112,375,16,17,56.05
5,39,285,127,33,54.196000000000005
9,58,210,48,34,39.034
4,25,469,116,42,70.70700000000001
4,57,581,81,21,78.682
13,72,596,46,13,77.245
10,62,396,29,27,55.071000000000005
6,56,218,79,34,43.37
10,21,169,49,44,32.011
14,82,316,63,48,56.59
8,78,449,62,14,64.843
11,29,462,40,24,59.07200000000001
5,110,433,122,46,78.27700000000002
11,95,190,54,39,42.861000000000004
4,42,488,85,40,70.33000000000001
3,70,537,99,23,78.234
15,59,497,20,19,63.25200000000001
15,65,219,47,43,42.236
8,64,328,95,44,58.858
7,128,123,34,49,38.152
11,80,281,52,40,50.171
5,32,199,24,26,30.475
11,74,254,41,50,46.507999999999996
11,23,98,32,47,23.309
11,55,467,14,42,61.355
3,122,517,52,43,78.51600000000002
5,124,179,89,21,46.982
3,78,71,96,24,31.825000000000003
4,44,432,50,22,58.214000000000006
4,37,218,74,39,40.931000000000004
10,95,423,17,26,59.94700000000001
13,121,309,120,47,67.608
13,10,464,10,17,52.516999999999996
6,57,241,13,35,37.348
11,79,336,106,39,62.511
9,61,408,90,15,62.57900000000001
8,125,379,55,13,62.196
7,99,406,31,22,59.76800000000001
5,62,173,64,29,36.886
3,101,409,63,31,65.174
3,101,74,94,23,34.417
6,56,522,62,24,70.67399999999999
8,59,98,11,11,20.201000000000004
10,84,256,56,12,45.208
15,102,356,76,33,62.94500000000001
9,82,385,101,11,63.64600000000001
12,48,576,89,20,78.774
3,110,434,110,48,76.876
5,111,275,70,18,52.343
11,120,289,88,12,56.967
9,25,500,79,28,67.812
9,25,538,37,31,66.547
7,113,544,18,29,74.473
15,99,109,121,29,43.024
4,57,178,95,30,40.870000000000005
12,90,242,54,15,44.767
12,23,182,116,18,39.352000000000004
9,58,332,39,41,51.019000000000005
13,74,386,81,43,64.387
9,55,416,90,28,64.238
4,22,323,35,19,42.346000000000004
4,77,427,55,50,65.519
4,107,414,53,37,65.879
8,95,58,22,41,25.337000000000003
13,90,61,111,37,36.604
15,41,439,60,48,63.95700000000001
5,96,255,101,32,54.279
8,128,411,123,48,78.781
6,94,281,24,46,48.419
15,13,268,11,14,33.022
7,99,434,108,40,74.74800000000002
6,126,553,50,29,80.96
6,45,465,115,18,69.817
7,88,77,56,47,31.488000000000003
14,43,338,102,21,56.145
3,11,165,22,13,22.618000000000002
11,19,441,75,34,61.531000000000006
9,66,347,101,36,60.92700000000001
13,60,592,54,24,77.79799999999999
3,130,494,108,30,82.854
5,74,494,90,37,75.031
3,31,352,31,43,48.565
15,59,566,73,21,77.34899999999999
12,80,494,95,13,74.151
4,126,536,45,38,79.48400000000001
12,51,565,10,40,70.12100000000001
14,60,340,109,28,60.062000000000005
10,113,401,103,17,69.922
10,94,368,129,36,70.02600000000001
3,45,243,128,23,49.410000000000004
11,35,490,111,16,70.874
10,64,439,107,11,67.882
10,86,528,121,31,83.62300000000002
12,95,240,57,49,49.581
10,102,487,101,15,76.834
9,56,152,69,16,33.532
6,119,496,98,47,82.773
14,14,431,112,15,62.760000000000005
11,54,195,47,40,37.819
3,61,109,80,26,31.849000000000004
4,113,252,62,42,51.978
5,92,197,72,15,42.164
8,16,508,81,29,67.865
10,10,91,31,49,21.112000000000002
8,120,556,106,39,89.21700000000001
9,28,555,80,43,75.63000000000001
11,80,222,71,49,47.753
14,81,364,22,29,53.731
12,63,117,74,32,33.633
5,76,418,13,28,56.506
13,80,396,64,17,60.789
15,107,332,20,44,55.13
10,113,126,51,11,34.673
8,77,312,57,48,54.286
12,129,121,71,35,41.660000000000004
15,109,332,47,37,58.039
11,25,520,51,12,64.468
8,105,512,45,46,75.936
4,16,394,114,19,59.09100000000001
15,57,156,78,40,38.618
10,107,518,90,20,79.71000000000001
7,44,571,121,48,84.84700000000001
13,24,92,66,44,27.062
12,82,349,48,24,54.937000000000005
14,38,90,127,17,33.291
5,70,248,65,20,44.44800000000001
5,21,340,64,37,49.949000000000005
4,121,436,70,21,70.03099999999999
6,125,497,38,29,73.62799999999999
9,67,426,50,11,59.417
15,13,458,54,26,59.230000000000004
4,27,317,35,19,42.32
14,100,458,126,49,81.32900000000001
9,48,327,97,23,54.752
11,107,538,103,44,86.36600000000001
9,82,505,77,40,76.09700000000001
5,80,553,101,14,80.37899999999999
